
> frontend@0.1.0 dev:frontend
> node scripts/run-frontend-when-ready.js

[frontend] All backend services are ready. Starting Next.js.
▲ Next.js 16.2.10 (webpack)
- Local:         http://localhost:3000
- Network:       http://192.168.32.1:3000
- Environments: .env.local, .env
✓ Ready in 989ms

○ Compiling / ...
 GET / 200 in 10.0s (next.js: 8.6s, application-code: 1430ms)
 GET / 200 in 286ms (next.js: 21ms, application-code: 265ms)
 GET / 200 in 133ms (next.js: 15ms, application-code: 118ms)
 GET / 200 in 155ms (next.js: 11ms, application-code: 144ms)
 GET / 200 in 108ms (next.js: 11ms, application-code: 97ms)
 GET / 200 in 110ms (next.js: 12ms, application-code: 98ms)
 GET / 500 in 4.4s (next.js: 4.0s, application-code: 329ms)
 GET / 200 in 127ms (next.js: 5ms, application-code: 122ms)
 GET / 200 in 739ms (next.js: 121ms, application-code: 618ms)
 GET / 200 in 56ms (next.js: 4ms, application-code: 52ms)
 GET / 200 in 87ms (next.js: 4ms, application-code: 83ms)
 GET / 200 in 638ms (next.js: 5ms, application-code: 633ms)
 GET /category/6 200 in 3.1s (next.js: 3.0s, application-code: 86ms)
 GET /category/6?subcategory=99 200 in 58ms (next.js: 19ms, application-code: 39ms)
 GET /category/6?subcategory=99 200 in 438ms (next.js: 16ms, application-code: 421ms)
 GET /category/6?subcategory=99 200 in 62ms (next.js: 11ms, application-code: 51ms)
 GET /category/6?subcategory=99 200 in 524ms (next.js: 21ms, application-code: 503ms)
 GET /category/6?subcategory=99 200 in 79ms (next.js: 12ms, application-code: 67ms)
 GET /category/6?subcategory=99 200 in 321ms (next.js: 14ms, application-code: 307ms)
 GET /category/6?subcategory=99 200 in 106ms (next.js: 14ms, application-code: 92ms)
 GET /category/6?subcategory=99 200 in 90ms (next.js: 7ms, application-code: 83ms)
 GET /category/6?subcategory=99 200 in 66ms (next.js: 7ms, application-code: 59ms)
 GET /category/6?subcategory=99 200 in 76ms (next.js: 14ms, application-code: 62ms)
 GET /category/6?subcategory=99 200 in 389ms (next.js: 6ms, application-code: 382ms)
 GET /category/6?subcategory=99 200 in 241ms (next.js: 7ms, application-code: 235ms)
 GET /category/6?subcategory=99 200 in 245ms (next.js: 14ms, application-code: 231ms)
 GET /category/6?subcategory=99 200 in 81ms (next.js: 8ms, application-code: 74ms)
 GET /category/6?subcategory=99 200 in 49ms (next.js: 7ms, application-code: 43ms)
 GET /category/6?subcategory=99 200 in 333ms (next.js: 12ms, application-code: 321ms)
 GET /category/6?subcategory=99 200 in 67ms (next.js: 7ms, application-code: 60ms)
 GET /category/6?subcategory=99 200 in 71ms (next.js: 6ms, application-code: 66ms)
 GET /category/6?subcategory=99 200 in 75ms (next.js: 13ms, application-code: 61ms)
 GET /category/6?subcategory=99 200 in 246ms (next.js: 6ms, application-code: 240ms)
 GET /category/6?subcategory=99 200 in 65ms (next.js: 7ms, application-code: 58ms)
 GET /category/6?subcategory=99 200 in 55ms (next.js: 12ms, application-code: 43ms)
 GET /category/6?subcategory=99 200 in 55ms (next.js: 8ms, application-code: 47ms)
 GET /category/6?subcategory=99 200 in 219ms (next.js: 7ms, application-code: 212ms)
 GET /category/6?subcategory=99 200 in 70ms (next.js: 14ms, application-code: 56ms)
 GET /category/6?subcategory=99 200 in 67ms (next.js: 6ms, application-code: 60ms)
 GET /category/6?subcategory=99 200 in 65ms (next.js: 6ms, application-code: 58ms)
 GET /category/6?subcategory=99 200 in 261ms (next.js: 14ms, application-code: 247ms)
 GET /category/6?subcategory=99 200 in 127ms (next.js: 7ms, application-code: 120ms)
 GET /category/6?subcategory=99 200 in 58ms (next.js: 7ms, application-code: 51ms)
 GET /category/6?subcategory=99 200 in 276ms (next.js: 13ms, application-code: 263ms)
 GET /category/6?subcategory=99 200 in 48ms (next.js: 7ms, application-code: 41ms)
 GET /category/6?subcategory=99 200 in 70ms (next.js: 7ms, application-code: 63ms)
 GET /category/6?subcategory=99 200 in 281ms (next.js: 14ms, application-code: 267ms)
 GET /category/6?subcategory=99 200 in 238ms (next.js: 7ms, application-code: 231ms)
 GET /category/6?subcategory=99 200 in 228ms (next.js: 6ms, application-code: 222ms)
 GET /category/6?subcategory=99 200 in 266ms (next.js: 12ms, application-code: 254ms)
 GET /category/6?subcategory=99 200 in 76ms (next.js: 7ms, application-code: 70ms)
 GET /category/6?subcategory=99 200 in 66ms (next.js: 6ms, application-code: 60ms)
 GET /category/6?subcategory=99 200 in 257ms (next.js: 13ms, application-code: 243ms)
 GET /category/6?subcategory=99 200 in 235ms (next.js: 6ms, application-code: 229ms)
 GET /category/6?subcategory=99 200 in 61ms (next.js: 6ms, application-code: 54ms)
 GET /category/6?subcategory=99 200 in 366ms (next.js: 13ms, application-code: 353ms)
 GET /category/6?subcategory=99 200 in 79ms (next.js: 6ms, application-code: 73ms)
 GET /category/6?subcategory=99 200 in 63ms (next.js: 6ms, application-code: 56ms)
 GET /category/6?subcategory=99 200 in 265ms (next.js: 17ms, application-code: 248ms)
 GET /category/6?subcategory=99 200 in 76ms (next.js: 6ms, application-code: 71ms)
 GET /category/6?subcategory=99 200 in 58ms (next.js: 6ms, application-code: 52ms)
 GET /category/6?subcategory=99 200 in 376ms (next.js: 14ms, application-code: 362ms)
 GET /category/6?subcategory=99 200 in 85ms (next.js: 8ms, application-code: 77ms)
 GET /category/6?subcategory=99 200 in 61ms (next.js: 7ms, application-code: 54ms)
 GET /category/6?subcategory=99 200 in 222ms (next.js: 13ms, application-code: 209ms)
